tipoProducto,codigoDncp,nombre,estado,codigo,mapa,clasificadorProducto,subclasificadorProducto,concentracion,formaFarmaceutica,presentacion,codigoGrupoFarmacologico,nombreGrupoFarmacologico,codigoSubgrupoFarmacologico,nombreSubgrupoFarmacologico,tipoAdquisicion,id
"MEDICAMENTO","51142002-001","ACIDO ACETIL SALICILICO","HABILITADO","2121","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -AGENTES ANTITROMBÓTICOS","125 MG __","COMPRIMIDO","BLISTER X 10","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","1","MEDICAMENTO -AGENTES ANTITROMBÓTICOS","LISTADO BASICO","47104",
"MEDICAMENTO","51182406-001","ACIDO ALENDRONICO (ALENDRONATO)","HABILITADO","2122","false","SISTEMA MUSCULOESQUELETICO","MEDICAMENTO -DROGAS PARA EL TRATAMIENTO DE ENFERMEDADES ÓSEAS","70 MG __","COMPRIMIDO","UNIDAD","M","SISTEMA MUSCULOESQUELETICO","5","MEDICAMENTO -DROGAS PARA EL TRATAMIENTO DE ENFERMEDADES ÓSEAS","LISTADO BASICO","47105",
"MEDICAMENTO","51191905-068","ACIDO FOLICO","HABILITADO","2123","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","1 MG/ML __","LIQUIDO ORAL","FRASCO GOTERO","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","3","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","LISTADO BASICO","47106",
"MEDICAMENTO","51191905-069","ACIDO FOLICO","HABILITADO","2124","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","5 MG __","COMPRIMIDO","BLISTER X 10","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","3","MEDICAMENTO -PREPARADOS ANTIANÉMICOS","LISTADO BASICO","47107",
"MEDICAMENTO","51101508-002","ACIDO FUSIDICO","HABILITADO","2125","false","DERMATOLOGICOS","MEDICAMENTO -ANTIBIÓTICOS PARA USO DERMATOLÓGICO","2 % _","CREMA","TUBO","D","DERMATOLOGICOS","6","MEDICAMENTO -ANTIBIÓTICOS PARA USO DERMATOLÓGICO","LISTADO BASICO","47108",
"MEDICAMENTO","12352106-001","ACIDO TRICLORO ACETICO","HABILITADO","2126","false","SISTEMA GENITOURINARIO Y HORMONAS SEXUALES","MEDICAMENTO -ANTIINFECCIOSOS Y ANTISÉPTICOS GINECOLÓGICOS","80 %","SOLUCION","FRASCO 20ML","G","SISTEMA GENITOURINARIO Y HORMONAS SEXUALES","1","MEDICAMENTO -ANTIINFECCIOSOS Y ANTISÉPTICOS GINECOLÓGICOS","LISTADO BASICO","47109",
"MEDICAMENTO","51141531-001","ACIDO VALPROICO O VALPROATO SODICO","HABILITADO","2127","false","SISTEMA NERVIOSO","MEDICAMENTO -ANTIEPILÉPTICOS","500 MG __","COMPRIMIDO","UNIDAD","N","SISTEMA NERVIOSO","3","MEDICAMENTO -ANTIEPILÉPTICOS","LISTADO BASICO","47110",
"MEDICAMENTO","51141531-002","ACIDO VALPROICO O VALPROATO SODICO","HABILITADO","2128","false","SISTEMA NERVIOSO","MEDICAMENTO -ANTIEPILÉPTICOS","250 MG/5 ML __","LIQUIDO ORAL","FRASCO","N","SISTEMA NERVIOSO","3","MEDICAMENTO -ANTIEPILÉPTICOS","LISTADO BASICO","47111",
"MEDICAMENTO","51121501-001","ADENOSINA","HABILITADO","2129","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -TERAPIA CARDÍACA","3 MG/ ML __","INYECTABLE","AMPOLLA","C","SISTEMA CARDIOVASCULAR","1","MEDICAMENTO -TERAPIA CARDÍACA","LISTADO BASICO","47112",
"MEDICAMENTO","51151703-001","ADRENALINA","HABILITADO","2130","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -TERAPIA CARDÍACA","1 MG/ML __","INYECTABLE","AMPOLLA","C","SISTEMA CARDIOVASCULAR","1","MEDICAMENTO -TERAPIA CARDÍACA","LISTADO BASICO","47113",
"MEDICAMENTO","51102702-001","AGUA DESTILADA ESTERIL","HABILITADO","2131","false","MEDICAMENTO -VARIOS","MEDICAMENTO -TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS","","INYECTABLE","FRASCO 1000ML","V","MEDICAMENTO -VARIOS","1","MEDICAMENTO -TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS","LISTADO BASICO","47114",
"MEDICAMENTO","51102702-001","AGUA DESTILADA ESTERIL","HABILITADO","2132","false","MEDICAMENTO -VARIOS","MEDICAMENTO -TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS","","INYECTABLE","AMPOLLA X 10 ML","V","MEDICAMENTO -VARIOS","1","MEDICAMENTO -TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS","LISTADO BASICO","47115",
"MEDICAMENTO","51101701-004","ALBENDAZOL","HABILITADO","2133","false","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","MEDICAMENTO -ANTIHELMÍNTICOS","200 MG/5ML __","LIQUIDO ORAL","FRASCO 10ML","P","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","2","MEDICAMENTO -ANTIHELMÍNTICOS","LISTADO BASICO","47116",
"MEDICAMENTO","51101701-001","ALBENDAZOL","HABILITADO","2134","false","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","MEDICAMENTO -ANTIHELMÍNTICOS","400 MG __","COMPRIMIDO","UNIDAD","P","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","2","MEDICAMENTO -ANTIHELMÍNTICOS","LISTADO BASICO","47117",
"MEDICAMENTO","51131909-001","ALBUMINA HUMANA","HABILITADO","2135","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","20-25% __","INYECTABLE","FRASCO AMPOLLA","B","SANGRE Y ORGANOS FORMADORES DE SANGRE","5","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","LISTADO BASICO","47118",
"MEDICAMENTO","","ALCOHOL RECTIFICADO","HABILITADO","2136","false","DERMATOLOGICOS","MEDICAMENTO -ANTISÉPTICOS Y DESINFECTANTES","70 %","GEL","FRASCO","D","DERMATOLOGICOS","8","MEDICAMENTO -ANTISÉPTICOS Y DESINFECTANTES","LISTADO BASICO","47119",
"MEDICAMENTO","51121708-001","ALFAMETILDOPA","HABILITADO","2137","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -ANTIHIPERTENSIVOS","500 MG __","COMPRIMIDO","BLISTER X 10","C","SISTEMA CARDIOVASCULAR","2","MEDICAMENTO -ANTIHIPERTENSIVOS","LISTADO BASICO","47120",
"MEDICAMENTO","51142214-001","ALFENTANILO","HABILITADO","2138","false","SISTEMA NERVIOSO","MEDICAMENTO -ANESTÉSICOS","05 MG/ML __","INYECTABLE","AMPOLLA X 2 ML","N","SISTEMA NERVIOSO","1","MEDICAMENTO -ANESTÉSICOS","LISTADO BASICO","47121",
"MEDICAMENTO","51211501-001","ALLOPURINOL","HABILITADO","2139","false","SISTEMA MUSCULOESQUELETICO","MEDICAMENTO -ANTIGOTOSOS","300 MG __","COMPRIMIDO","BLISTER X 10","M","SISTEMA MUSCULOESQUELETICO","4","MEDICAMENTO -ANTIGOTOSOS","LISTADO BASICO","47122",
"MEDICAMENTO","51141919-001","ALPRAZOLAM","HABILITADO","2140","false","SISTEMA NERVIOSO","MEDICAMENTO -PSICOLÉPTICOS","1 MG __","COMPRIMIDO","BLISTER X 10","N","SISTEMA NERVIOSO","5","MEDICAMENTO -PSICOLÉPTICOS","LISTADO BASICO","47123",
"MEDICAMENTO","51101586-001","AMIKACINA","HABILITADO","2141","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","500 MG / ML __","INYECTABLE","AMPOLLA X 2 ML","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47124",
"MEDICAMENTO","51121511-002","AMIODARONA (CLORHIDRATO)","HABILITADO","2142","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -TERAPIA CARDÍACA","200 MG __","COMPRIMIDO","BLISTER X 10","C","SISTEMA CARDIOVASCULAR","1","MEDICAMENTO -TERAPIA CARDÍACA","LISTADO BASICO","47125",
"MEDICAMENTO","51141601-001","AMITRIPTILINA (CLORHIDRATO)","HABILITADO","2144","false","SISTEMA NERVIOSO","MEDICAMENTO -PSICOANALÉPTICOS","25 MG __","COMPRIMIDO","BLISTER X 10","N","SISTEMA NERVIOSO","6","MEDICAMENTO -PSICOANALÉPTICOS","LISTADO BASICO","47126",
"MEDICAMENTO","51121743-001","AMLODIPINA (BESILATO)","HABILITADO","2145","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -BLOQUEANTES DE CANALES DE CALCIO","10 MG _","COMPRIMIDO","BLISTER X 10","C","SISTEMA CARDIOVASCULAR","8","MEDICAMENTO -BLOQUEANTES DE CANALES DE CALCIO","LISTADO BASICO","47127",
"MEDICAMENTO","51101511-001","AMOXICILINA","HABILITADO","2146","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","500 MG __","COMPRIMIDO","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47128",
"MEDICAMENTO","51101511-002","AMOXICILINA","HABILITADO","2147","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","500 MG / 5 ML __","LIQUIDO ORAL","FRASCO 90ML","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47129",
"MEDICAMENTO","","AMOXICILINA+SULBACTAM","HABILITADO","2148","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","1000 MG + 500MG __","INYECTABLE","FRASCO AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47130",
"MEDICAMENTO","51101511-003","AMOXICILINA+SULBACTAM","HABILITADO","2149","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","875 MG + 125 MG __","COMPRIMIDO","COMPRIMIDO","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47131",
"MEDICAMENTO","51101511-004","AMOXICILINA+SULBACTAM","HABILITADO","2150","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","1:4 _","LIQUIDO ORAL","FRASCO 90ML","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47132",
"MEDICAMENTO","51101567-001","AMPICILINA (SAL SODICA)","HABILITADO","2151","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","1 G __","INYECTABLE","FRASCO AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47133",
"MEDICAMENTO","51101511-003","AMPICILINA + SULBACTAN","HABILITADO","2152","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","1000 MG + 500MG __","INYECTABLE","FRASCO AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47134",
"MEDICAMENTO","51111801-001","ANASTRAZOL","HABILITADO","2153","false","ANTINEOPLASICOS E INMUNOMODULARES","MEDICAMENTO -TERAPIA ENDÓCRINA","1 MG __","COMPRIMIDO","BLISTER X 10","L","ANTINEOPLASICOS E INMUNOMODULARES","2","MEDICAMENTO -TERAPIA ENDÓCRINA","LISTADO BASICO","47135",
"MEDICAMENTO","51101801-004","ANFOTERICINA B NORMAL","HABILITADO","2154","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIMICÓTICOS PARA USO SISTÉMICO","50 MG __","INYECTABLE","FRASCO 100ML","J","ANTIINFECCIOSOS PARA USO SISTEMICO","2","MEDICAMENTO -ANTIMICÓTICOS PARA USO SISTÉMICO","LISTADO BASICO","47136",
"MEDICAMENTO","51241114-004","ANTAZOLINA FOSFATO + TETRAZOLINA","HABILITADO","2155","false","ORGANOS DE LOS SENTIDOS","MEDICAMENTO -OFTALMOLÓGICOS","0,5%+004% __","SOLUCION OFTALMICA","FRASCO GOTERO","S","ORGANOS DE LOS SENTIDOS","1","MEDICAMENTO -OFTALMOLÓGICOS","LISTADO BASICO","47137",
"MEDICAMENTO","","ANTITOXINA TETANICA","HABILITADO","2156","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -SUEROS INMUNES E INMUNOGLOBULINAS","NORMA PAI __","INYECTABLE","NORMA PAI","J","ANTIINFECCIOSOS PARA USO SISTEMICO","6","MEDICAMENTO -SUEROS INMUNES E INMUNOGLOBULINAS","LISTADO BASICO","47138",
"MEDICAMENTO","","ARTESUNATO","HABILITADO","2157","false","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","MEDICAMENTO -ANTIPROTOZOARIOS","50 MG __","COMPRIMIDO","PROGRAMA MALARIA","P","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","1","MEDICAMENTO -ANTIPROTOZOARIOS","LISTADO BASICO","47139",
"MEDICAMENTO","","ATAZANAVIR","HABILITADO","2158","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","400 MG __","CAPSULA","BLISTER X 10","J","ANTIINFECCIOSOS PARA USO SISTEMICO","5","MEDICAMENTO -ANTIVIRALES DE USO SISTÉMICO","LISTADO BASICO","47140",
"MEDICAMENTO","51151801-001","ATENOLOL","HABILITADO","2159","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -BETA-BLOQUEANTES","50 MG __","COMPRIMIDO","UNIDAD","C","SISTEMA CARDIOVASCULAR","7","MEDICAMENTO -BETA-BLOQUEANTES","LISTADO BASICO","47141",
"MEDICAMENTO","51121818-001","ATORVASTATINA","HABILITADO","2160","false","SISTEMA CARDIOVASCULAR","MEDICAMENTO -ANGENTES QUE REDUCEN LOS LÍPIDOS SÉRICOS","20 MG __","COMPRIMIDO","BLISTER X 10","C","SISTEMA CARDIOVASCULAR","10","MEDICAMENTO -ANGENTES QUE REDUCEN LOS LÍPIDOS SÉRICOS","LISTADO BASICO","47142",
"MEDICAMENTO","51151616-003","ATROPINA","HABILITADO","2162","false","ORGANOS DE LOS SENTIDOS","MEDICAMENTO -OFTALMOLÓGICOS","1 %","SOLUCION OFTALMICA","FRASCO GOTERO","S","ORGANOS DE LOS SENTIDOS","1","MEDICAMENTO -OFTALMOLÓGICOS","LISTADO BASICO","47143",
"MEDICAMENTO","51151616-001","ATROPINA (CLORHIDRATO)","HABILITADO","2163","false","TRACTO ALIMENTARIO Y METABOLISMO","MEDICAMENTO -AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTÓMAGO E INSTESTINO","1 MG/ML __","INYECTABLE","AMPOLLA 1ML","A","TRACTO ALIMENTARIO Y METABOLISMO","3","MEDICAMENTO -AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL ESTÓMAGO E INSTESTINO","LISTADO BASICO","47144",
"MEDICAMENTO","51201501-001","AZATIOPRINA","HABILITADO","2164","false","ANTINEOPLASICOS E INMUNOMODULARES","MEDICAMENTO -INMUNOSUPRESORES","50 MG __","COMPRIMIDO","UNIDAD","L","ANTINEOPLASICOS E INMUNOMODULARES","4","MEDICAMENTO -INMUNOSUPRESORES","LISTADO BASICO","47145",
"MEDICAMENTO","51101572-002","AZITROMICINA","HABILITADO","2165","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","500 MG __","COMPRIMIDO","BLISTER X 6","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47146",
"MEDICAMENTO","51101572-001","AZITROMICINA","HABILITADO","2166","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","200 MG/5ML __","LIQUIDO ORAL","FRASCO","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47147",
"MEDICAMENTO","51151901-001","BACLOFENO","HABILITADO","2167","false","SISTEMA MUSCULOESQUELETICO","MEDICAMENTO -RELAJANTES MUSCULARES","25 MG __","COMPRIMIDO","UNIDAD","M","SISTEMA MUSCULOESQUELETICO","3","MEDICAMENTO -RELAJANTES MUSCULARES","LISTADO BASICO","47148",
"MEDICAMENTO","51181752-002","BECLOMETASONA DIPROPIONATO","HABILITADO","2168","false","SISTEMA RESPIRATORIO","MEDICAMENTO -AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE LAS VÍAS RESPIRATORIAS","250 MCG/DOSIS __","AEROSOL","FRASCO","R","SISTEMA RESPIRATORIO","3","MEDICAMENTO -AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE LAS VÍAS RESPIRATORIAS","LISTADO BASICO","47149",
"MEDICAMENTO","511015507-004","BENCILPENICILINA BENZATINICA","HABILITADO","2169","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","1.200.000 UI __","INYECTABLE","FRASCO AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47150",
"MEDICAMENTO","511015507-004","BENCILPENICILINA BENZATINICA","HABILITADO","2170","false","ANTIINFECCIOSOS PARA USO SISTEMICO","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","2.400.000 UI __","INYECTABLE","FRASCO AMPOLLA","J","ANTIINFECCIOSOS PARA USO SISTEMICO","1","MEDICAMENTO -ANTIBACTERIANOS PARA USO SISTÉMICO","LISTADO BASICO","47151",
"MEDICAMENTO","51101718-001","BENZOATO DE BENCILO","HABILITADO","2173","false","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","MEDICAMENTO -ECTOPARASITICIDAS, INCL. ESCABICIDAS, INSECTICIDAS Y REPELENTES","15 A 25% __","LOCION","FRASCO","P","ANTIPARASITARIOS, INSECTICIDAS Y REPELENTES","3","MEDICAMENTO -ECTOPARASITICIDAS, INCL. ESCABICIDAS, INSECTICIDAS Y REPELENTES","LISTADO BASICO","47152",
"MEDICAMENTO","51181701-006","BETAMETASONA (VALERATO)","HABILITADO","2174","false","DERMATOLOGICOS","MEDICAMENTO -CORTICOESTEROIDES PARA USO DERMATOLÓGICO","0.1 % _","CREMA","TUBO","D","DERMATOLOGICOS","7","MEDICAMENTO -CORTICOESTEROIDES PARA USO DERMATOLÓGICO","LISTADO BASICO","47153",
"MEDICAMENTO","","BICARBONATO DE SODIO PARA HEMODIALISIS","HABILITADO","2175","false","SANGRE Y ORGANOS FORMADORES DE SANGRE","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","BICARBONATO DE NA 84 G/L __","INYECTABLE","FRASCO","","SANGRE Y ORGANOS FORMADORES DE SANGRE","","MEDICAMENTO -SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","DONACION","47154",
"MEDICAMENTO","51142506-001","BIPERIDENO CLORHIDRATO","HABILITADO","2176","false","SISTEMA NERVIOSO","MEDICAMENTO -ANTIPARKINSONIANOS","2 MG __","COMPRIMIDO","UNIDAD","N","SISTEMA NERVIOSO","4","MEDICAMENTO -ANTIPARKINSONIANOS","LISTADO BASICO","47155",
"MEDICAMENTO","51142506-001","BIPERIDENO LACTATO","HABILITADO","2177","false","SISTEMA NERVIOSO","MEDICAMENTO -ANTIPARKINSONIANOS","5 MG/ML __","INYECTABLE","AMPOLLA 1ML","N","SISTEMA NERVIOSO","4","MEDICAMENTO -ANTIPARKINSONIANOS","LISTADO BASICO","47156",
"MEDICAMENTO","51111701-002","BLEOMICINA","HABILITADO","2178","false","ANTINEOPLASICOS E INMUNOMODULARES","MEDICAMENTO -ANTINEOPLÁSICOS","15 UI __","INYECTABLE","AMPOLLA","L","ANTINEOPLASICOS E INMUNOMODULARES","1","MEDICAMENTO -ANTINEOPLÁSICOS","LISTADO BASICO","47157",
"MEDICAMENTO","51161703-001","BUDESONIDA","HABILITADO","2179","false","SISTEMA RESPIRATORIO","MEDICAMENTO -AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE LAS VÍAS RESPIRATORIAS","200 MCG/DOSIS __","AEROSOL","FRASCO","R","SISTEMA RESPIRATORIO","3","MEDICAMENTO -AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE LAS VÍAS RESPIRATORIAS","LISTADO BASICO","47158",
"MEDICAMENTO","51142905-005","BUPIVACAINA CLORHIDRATO","HABILITADO","2180","false","SISTEMA NERVIOSO","MEDICAMENTO -ANESTÉSICOS","0,5 %","INYECTABLE","AMPOLLA 20ML","N","SISTEMA NERVIOSO","1","MEDICAMENTO -ANESTÉSICOS","LISTADO BASICO","47159",
